Glasses,Hats,Eyes,Mouth,Shirt,Color,Background
transparent,afro,closed,open,hawaiian3,#181B2B,#E6CAAF
standard,baseball,wink,open,hawaiian2,#D9BD9E,#98CDCD
transparent,baseball,sparkling,open,hoodie,#FFFFFF,#F68A5C
standard,aviator,angry,open,overalls,#F6C3DB,#EE2840
nerdy,white mohawk,angry,grinning,inmate,#FFFFFF,#FAE74B
nerdy,white mohawk,wink,smoking,hawaiian3,#181B2B,#FAE74B
shiny,fishing hat,wink,smoking,hawaiian2,#FFFFFF,#F68A5C
nerdy,bennett,closed,yawn,hawaiian2,#FFFFFF,#EE2840
standard,aviator,standard,no expression,hoodie,#181B2B,#F68A5C
cool pink,snowhat,closed,open,hoodie,#959A99,#EE2840
transparent,red mohawk,standard,open,tattoos,#F6C3DB,#F68A5C
nerdy,snowhat,dizzy,open,basketball,#D9BD9E,#FAE74B
standard,blue mohawk,angry,grinning,hoodie,#181B2B,#B5B3DA
shiny,ribs,dizzy,open,tattoos,#959A99,#EE2840
nerdy,afro,wink,yawn,scarf,#959A99,#F68A5C
cool pink,snowhat,dizzy,yawn,t-shirt,#F6C3DB,#E6CAAF
transparent,fishing hat,sparkling,standard,overalls,#C62B3E,#B5B3DA
transparent,baseball,wink,fish,basketball,#F6C3DB,#E6CAAF
transparent,sausage,closed,standard,hawaiian2,#181B2B,#98CDCD
nerdy,white mohawk,standard,yawn,tattoos,#959A99,#E6CAAF
standard,afro,angry,grinning,hawaiian1,#F6C3DB,#E6CAAF
standard,bucket hat,wink,standard,t-shirt,#C62B3E,#B5B3DA
standard,afro,wink,no expression,hawaiian1,#959A99,#98CDCD
vintage yellow,green mohawk,standard,grinning,t-shirt,#181B2B,#F68A5C
transparent,bennett,standard,yawn,hoodie,#FFFFFF,#98CDCD
vintage yellow,red mohawk,sparkling,open,hawaiian3,#959A99,#E6CAAF
standard,blue mohawk,closed,no expression,basketball,#959A99,#E6CAAF
cool gold,snowhat,dizzy,no expression,t-shirt,#FFFFFF,#B5B3DA
standard,ribs,standard,grinning,basketball,#F6C3DB,#EE2840
transparent,bennett,standard,standard,t-shirt,#F6C3DB,#FAE74B
nerdy,snowhat,angry,smoking,basketball,#FFFFFF,#F68A5C
vintage yellow,white mohawk,angry,smoking,hawaiian3,#181B2B,#B5B3DA
cool pink,white mohawk,dizzy,standard,scarf,#959A99,#F68A5C
standard,ribs,angry,yawn,inmate,#C62B3E,#EE2840
transparent,snowhat,wink,standard,hawaiian2,#FFFFFF,#B5B3DA
cool gold,baseball,angry,smoking,hoodie,#FFFFFF,#FAE74B
plastic,white mohawk,standard,grinning,hawaiian3,#FFFFFF,#EE2840
cool pink,afro,closed,no expression,inmate,#181B2B,#F68A5C
vintage red,white mohawk,standard,smoking,hawaiian2,#181B2B,#E6CAAF
nerdy,bucket hat,standard,fish,inmate,#181B2B,#E6CAAF
standard,red mohawk,wink,smoking,overalls,#D9BD9E,#E6CAAF
standard,bucket hat,closed,open,scarf,#D9BD9E,#98CDCD
standard,bucket hat,wink,grinning,tattoos,#181B2B,#FD9DCB
standard,afro,angry,standard,overalls,#181B2B,#98CDCD
transparent,white mohawk,sparkling,yawn,collared,#D9BD9E,#E6CAAF
shiny,white mohawk,standard,smoking,hawaiian3,#387DDC,#98CDCD
standard,poop,dizzy,standard,hoodie,#D9BD9E,#FD9DCB
nerdy,bucket hat,closed,standard,basketball,#F6C3DB,#FD9DCB
transparent,aviator,wink,no expression,hawaiian2,#181B2B,#98CDCD
standard,aviator,wink,standard,hawaiian3,#959A99,#FD9DCB
cool pink,ribs,standard,grinning,collared,#D9BD9E,#EE2840
cool gold,poop,standard,open,hoodie,#FFFFFF,#98CDCD
vintage red,ribs,sparkling,yawn,hawaiian2,#C62B3E,#98CDCD
transparent,bennett,wink,fish,hawaiian1,#D9BD9E,#FD9DCB
standard,blue mohawk,standard,standard,standard,#959A99,#F68A5C
standard,snowhat,wink,grinning,hawaiian3,#D9BD9E,#E6CAAF
standard,poop,standard,yawn,t-shirt,#D9BD9E,#E6CAAF
transparent,red mohawk,wink,no expression,t-shirt,#FFFFFF,#F68A5C
transparent,red mohawk,closed,smoking,scarf,#181B2B,#E6CAAF
transparent,snowhat,wink,grinning,t-shirt,#FFFFFF,#FD9DCB
standard,bucket hat,angry,no expression,hawaiian1,#181B2B,#F68A5C
cool gold,snowhat,standard,standard,hoodie,#387DDC,#F68A5C
shiny,baseball,standard,yawn,punk,#FFFFFF,#B5B3DA
transparent,afro,standard,grinning,collared,#387DDC,#EE2840
cool pink,green mohawk,wink,fish,hoodie,#181B2B,#E6CAAF
nerdy,baseball,standard,standard,standard,#387DDC,#B5B3DA
vintage red,snowhat,dizzy,standard,inmate,#C62B3E,#98CDCD
transparent,blue mohawk,standard,standard,hoodie,#181B2B,#FD9DCB
standard,green mohawk,standard,fish,t-shirt,#181B2B,#B5B3DA
standard,snowhat,sparkling,grinning,inmate,#D9BD9E,#E6CAAF
standard,snowhat,wink,open,collared,#D9BD9E,#EE2840
nerdy,afro,closed,grinning,basketball,#C62B3E,#E6CAAF
nerdy,aviator,dizzy,standard,tattoos,#181B2B,#F68A5C
shiny,aviator,angry,smoking,hawaiian2,#C62B3E,#F68A5C
standard,aviator,wink,grinning,overalls,#FFFFFF,#B5B3DA
vintage yellow,bucket hat,standard,yawn,hawaiian1,#959A99,#FD9DCB
nerdy,snowhat,closed,yawn,hoodie,#FFFFFF,#E6CAAF
nerdy,afro,angry,smoking,overalls,#FFFFFF,#E6CAAF
shiny,afro,closed,standard,overalls,#F6C3DB,#E6CAAF
standard,bennett,closed,open,hoodie,#181B2B,#F68A5C
nerdy,sausage,closed,yawn,overalls,#959A99,#98CDCD
shiny,afro,standard,no expression,punk,#F6C3DB,#98CDCD
plastic,poop,closed,standard,hawaiian3,#959A99,#E6CAAF
plastic,ribs,closed,yawn,tattoos,#FFFFFF,#FAE74B
nerdy,snowhat,sparkling,standard,collared,#F6C3DB,#98CDCD
nerdy,bucket hat,sparkling,open,standard,#181B2B,#FD9DCB
transparent,bennett,angry,smoking,hawaiian3,#F6C3DB,#EE2840
cool gold,ribs,angry,smoking,basketball,#959A99,#98CDCD
standard,fishing hat,standard,yawn,collared,#D9BD9E,#98CDCD
plastic,sausage,standard,no expression,basketball,#D9BD9E,#F68A5C
transparent,ribs,closed,standard,tattoos,#959A99,#FAE74B
standard,blue mohawk,wink,smoking,hawaiian2,#F6C3DB,#EE2840
nerdy,baseball,dizzy,fish,basketball,#FFFFFF,#EE2840
transparent,white mohawk,standard,standard,scarf,#D9BD9E,#B5B3DA
standard,snowhat,sparkling,open,scarf,#D9BD9E,#E6CAAF
plastic,aviator,dizzy,standard,hoodie,#D9BD9E,#EE2840
shiny,blue mohawk,sparkling,standard,hoodie,#181B2B,#B5B3DA
shiny,green mohawk,sparkling,standard,overalls,#FFFFFF,#FD9DCB
nerdy,ribs,sparkling,no expression,scarf,#D9BD9E,#FD9DCB
transparent,bucket hat,sparkling,standard,inmate,#387DDC,#F68A5C
vintage red,snowhat,standard,grinning,basketball,#D9BD9E,#B5B3DA
nerdy,aviator,standard,standard,hoodie,#959A99,#F68A5C
plastic,snowhat,wink,grinning,scarf,#181B2B,#98CDCD
standard,bucket hat,dizzy,smoking,punk,#959A99,#E6CAAF
transparent,aviator,angry,open,t-shirt,#FFFFFF,#FD9DCB
nerdy,snowhat,closed,grinning,collared,#FFFFFF,#FD9DCB
standard,aviator,standard,grinning,collared,#FFFFFF,#FD9DCB
standard,santa hat,angry,standard,hawaiian3,#181B2B,#FD9DCB
transparent,snowhat,angry,standard,hawaiian3,#181B2B,#98CDCD
transparent,ribs,closed,grinning,collared,#959A99,#FD9DCB
nerdy,snowhat,wink,grinning,basketball,#D9BD9E,#E6CAAF
standard,white mohawk,wink,yawn,tattoos,#387DDC,#F68A5C
transparent,bucket hat,angry,open,t-shirt,#FFFFFF,#98CDCD
standard,ribs,standard,standard,punk,#959A99,#EE2840
shiny,brain,dizzy,yawn,overalls,#FFFFFF,#98CDCD
transparent,brain,dizzy,standard,tattoos,#387DDC,#FAE74B
transparent,fishing hat,wink,grinning,punk,#C62B3E,#F68A5C
standard,white mohawk,wink,standard,hoodie,#C62B3E,#EE2840
nerdy,baseball,dizzy,open,hoodie,#C62B3E,#E6CAAF
plastic,red mohawk,wink,standard,t-shirt,#FFFFFF,#FAE74B
nerdy,white mohawk,sparkling,grinning,hoodie,#D9BD9E,#98CDCD
standard,ribs,standard,open,overalls,#387DDC,#E6CAAF
standard,snowhat,dizzy,fish,hawaiian3,#F6C3DB,#EE2840
standard,standard,wink,yawn,basketball,#387DDC,#B5B3DA
standard,baseball,wink,yawn,hawaiian3,#181B2B,#F68A5C
vintage red,bucket hat,angry,open,punk,#F6C3DB,#F68A5C
cool pink,blue mohawk,standard,standard,hawaiian2,#D9BD9E,#F68A5C
standard,baseball,dizzy,yawn,basketball,#181B2B,#E6CAAF
standard,bucket hat,closed,yawn,collared,#181B2B,#EE2840
transparent,standard,wink,no expression,hoodie,#FFFFFF,#B5B3DA
standard,white mohawk,angry,smoking,hoodie,#959A99,#B5B3DA
nerdy,baseball,wink,standard,hawaiian1,#FFFFFF,#FD9DCB
nerdy,afro,wink,yawn,overalls,#FFFFFF,#B5B3DA
transparent,bucket hat,standard,open,basketball,#959A99,#FAE74B
transparent,afro,wink,no expression,overalls,#181B2B,#F68A5C
transparent,bucket hat,standard,yawn,hawaiian1,#D9BD9E,#F68A5C
plastic,red mohawk,standard,smoking,hawaiian3,#C62B3E,#EE2840
transparent,fishing hat,sparkling,grinning,hoodie,#181B2B,#B5B3DA
plastic,ribs,wink,grinning,t-shirt,#C62B3E,#FAE74B
standard,white mohawk,angry,grinning,punk,#D9BD9E,#EE2840
nerdy,ribs,standard,yawn,punk,#387DDC,#F68A5C
standard,snowhat,dizzy,fish,scarf,#959A99,#FD9DCB
nerdy,snowhat,angry,open,overalls,#387DDC,#E6CAAF
transparent,snowhat,standard,open,collared,#D9BD9E,#FAE74B
shiny,bucket hat,wink,open,punk,#D9BD9E,#EE2840
shiny,ribs,standard,standard,hawaiian2,#181B2B,#FAE74B
cool pink,white mohawk,angry,no expression,hawaiian3,#D9BD9E,#98CDCD
standard,afro,wink,yawn,hoodie,#D9BD9E,#F68A5C
standard,fishing hat,standard,standard,collared,#D9BD9E,#98CDCD
standard,green mohawk,angry,grinning,t-shirt,#FFFFFF,#F68A5C
transparent,snowhat,dizzy,grinning,hoodie,#C62B3E,#FD9DCB
shiny,white mohawk,standard,open,inmate,#C62B3E,#F68A5C
cool gold,blue mohawk,standard,no expression,hawaiian3,#FFFFFF,#F68A5C
nerdy,red mohawk,closed,yawn,hawaiian2,#959A99,#F68A5C
transparent,snowhat,wink,standard,collared,#FFFFFF,#98CDCD
nerdy,green mohawk,angry,standard,inmate,#F6C3DB,#FD9DCB
standard,aviator,sparkling,grinning,hawaiian3,#C62B3E,#E6CAAF
nerdy,fishing hat,sparkling,standard,scarf,#959A99,#E6CAAF
shiny,bucket hat,dizzy,no expression,overalls,#D9BD9E,#F68A5C
standard,afro,wink,grinning,collared,#959A99,#FD9DCB
nerdy,baseball,angry,smoking,hawaiian3,#F6C3DB,#F68A5C
shiny,afro,sparkling,grinning,hoodie,#F6C3DB,#E6CAAF
transparent,blue mohawk,wink,smoking,hawaiian1,#F6C3DB,#E6CAAF
transparent,green mohawk,standard,standard,punk,#FFFFFF,#F68A5C
standard,bucket hat,closed,standard,basketball,#F6C3DB,#E6CAAF
vintage yellow,fishing hat,closed,yawn,t-shirt,#959A99,#98CDCD
shiny,ribs,wink,open,scarf,#FFFFFF,#98CDCD
nerdy,red mohawk,wink,open,hawaiian2,#FFFFFF,#F68A5C
cool pink,green mohawk,closed,standard,basketball,#F6C3DB,#FD9DCB
transparent,blue mohawk,standard,fish,inmate,#181B2B,#FD9DCB
nerdy,poop,dizzy,grinning,basketball,#FFFFFF,#E6CAAF
standard,snowhat,closed,yawn,tattoos,#181B2B,#B5B3DA
vintage red,bennett,standard,yawn,collared,#181B2B,#E6CAAF
vintage red,santa hat,closed,grinning,hoodie,#F6C3DB,#FAE74B
standard,afro,closed,smoking,basketball,#F6C3DB,#FD9DCB
nerdy,aviator,angry,grinning,overalls,#181B2B,#F68A5C
nerdy,santa hat,closed,yawn,hawaiian3,#D9BD9E,#F68A5C
standard,bucket hat,standard,yawn,hawaiian3,#181B2B,#B5B3DA
shiny,santa hat,closed,standard,hoodie,#FFFFFF,#98CDCD
vintage red,baseball,dizzy,standard,collared,#FFFFFF,#E6CAAF
transparent,baseball,dizzy,yawn,hawaiian1,#FFFFFF,#F68A5C
vintage red,aviator,sparkling,open,hoodie,#F6C3DB,#F68A5C
nerdy,snowhat,sparkling,no expression,hawaiian2,#181B2B,#E6CAAF
plastic,red mohawk,angry,standard,punk,#FFFFFF,#EE2840
transparent,blue mohawk,dizzy,grinning,hawaiian2,#181B2B,#FAE74B
standard,poop,closed,grinning,hawaiian1,#FFFFFF,#FAE74B
cool gold,snowhat,angry,fish,collared,#959A99,#F68A5C
vintage red,blue mohawk,closed,standard,scarf,#387DDC,#FD9DCB
shiny,white mohawk,dizzy,open,hawaiian3,#F6C3DB,#F68A5C
transparent,aviator,wink,smoking,basketball,#F6C3DB,#E6CAAF
vintage yellow,snowhat,closed,yawn,overalls,#FFFFFF,#98CDCD
vintage yellow,snowhat,sparkling,grinning,hawaiian2,#FFFFFF,#F68A5C
nerdy,bucket hat,dizzy,standard,hawaiian2,#181B2B,#F68A5C
shiny,afro,dizzy,grinning,inmate,#D9BD9E,#E6CAAF
shiny,white mohawk,wink,open,t-shirt,#F6C3DB,#FD9DCB
vintage red,standard,sparkling,grinning,scarf,#181B2B,#F68A5C
plastic,bucket hat,wink,no expression,punk,#C62B3E,#B5B3DA
nerdy,blue mohawk,wink,open,basketball,#FFFFFF,#FD9DCB
plastic,blue mohawk,closed,no expression,t-shirt,#387DDC,#F68A5C
vintage yellow,bennett,closed,open,overalls,#C62B3E,#EE2840
plastic,blue mohawk,closed,yawn,tattoos,#387DDC,#FAE74B
transparent,red mohawk,standard,fish,collared,#959A99,#F68A5C
nerdy,bucket hat,standard,open,basketball,#F6C3DB,#E6CAAF
shiny,green mohawk,standard,open,collared,#959A99,#FD9DCB
vintage red,afro,sparkling,open,hawaiian3,#D9BD9E,#E6CAAF
standard,aviator,wink,grinning,hawaiian2,#C62B3E,#EE2840
cool pink,sausage,closed,standard,hawaiian2,#181B2B,#98CDCD
transparent,aviator,angry,open,hawaiian3,#D9BD9E,#E6CAAF
transparent,white mohawk,standard,standard,scarf,#181B2B,#FD9DCB
shiny,red mohawk,dizzy,standard,punk,#FFFFFF,#B5B3DA
transparent,poop,closed,standard,basketball,#D9BD9E,#FAE74B
plastic,blue mohawk,standard,open,basketball,#181B2B,#98CDCD
plastic,white mohawk,wink,yawn,scarf,#F6C3DB,#FD9DCB
plastic,bennett,wink,yawn,hawaiian2,#C62B3E,#E6CAAF
shiny,white mohawk,dizzy,standard,basketball,#181B2B,#F68A5C
shiny,bennett,standard,no expression,scarf,#959A99,#B5B3DA
standard,bennett,closed,open,hawaiian2,#FFFFFF,#EE2840
transparent,bennett,standard,no expression,overalls,#D9BD9E,#F68A5C
nerdy,white mohawk,wink,open,punk,#387DDC,#FAE74B
shiny,sausage,closed,smoking,inmate,#FFFFFF,#E6CAAF
transparent,fishing hat,standard,grinning,t-shirt,#D9BD9E,#EE2840
nerdy,snowhat,closed,grinning,punk,#959A99,#FAE74B
plastic,white mohawk,standard,smoking,basketball,#387DDC,#F68A5C
standard,baseball,wink,yawn,hawaiian3,#181B2B,#E6CAAF
transparent,snowhat,angry,grinning,hawaiian2,#F6C3DB,#F68A5C
nerdy,snowhat,wink,open,hoodie,#387DDC,#E6CAAF
transparent,afro,closed,standard,t-shirt,#D9BD9E,#FD9DCB
transparent,green mohawk,wink,grinning,hawaiian3,#387DDC,#FD9DCB
nerdy,bucket hat,dizzy,fish,scarf,#D9BD9E,#E6CAAF
standard,bennett,dizzy,no expression,scarf,#FFFFFF,#FD9DCB
vintage yellow,baseball,wink,smoking,hawaiian2,#FFFFFF,#98CDCD
plastic,afro,wink,no expression,t-shirt,#FFFFFF,#B5B3DA
nerdy,fishing hat,sparkling,grinning,t-shirt,#181B2B,#EE2840
transparent,white mohawk,closed,open,basketball,#181B2B,#E6CAAF
standard,blue mohawk,sparkling,no expression,basketball,#F6C3DB,#E6CAAF
vintage red,afro,standard,standard,scarf,#F6C3DB,#F68A5C
plastic,ribs,standard,yawn,hawaiian3,#D9BD9E,#FAE74B
standard,green mohawk,wink,grinning,t-shirt,#181B2B,#F68A5C
transparent,bennett,sparkling,standard,punk,#959A99,#FAE74B
nerdy,baseball,closed,no expression,scarf,#959A99,#FAE74B
nerdy,bucket hat,wink,open,t-shirt,#959A99,#F68A5C
transparent,sausage,standard,smoking,scarf,#FFFFFF,#E6CAAF
nerdy,sausage,wink,no expression,hawaiian3,#387DDC,#F68A5C
standard,red mohawk,standard,standard,basketball,#FFFFFF,#F68A5C
vintage yellow,blue mohawk,closed,grinning,collared,#F6C3DB,#98CDCD
standard,bennett,dizzy,no expression,overalls,#959A99,#98CDCD
standard,afro,closed,no expression,hawaiian3,#D9BD9E,#E6CAAF
cool gold,blue mohawk,closed,yawn,basketball,#959A99,#FD9DCB
vintage yellow,white mohawk,dizzy,no expression,punk,#181B2B,#FD9DCB
vintage yellow,standard,standard,no expression,scarf,#387DDC,#F68A5C
cool pink,afro,closed,grinning,hawaiian2,#181B2B,#F68A5C
nerdy,green mohawk,closed,standard,punk,#959A99,#FD9DCB
shiny,afro,sparkling,open,tattoos,#D9BD9E,#FD9DCB
nerdy,aviator,angry,standard,inmate,#F6C3DB,#E6CAAF
transparent,green mohawk,sparkling,standard,hoodie,#959A99,#EE2840
nerdy,bennett,closed,fish,t-shirt,#387DDC,#E6CAAF
shiny,sausage,sparkling,yawn,punk,#F6C3DB,#EE2840
cool pink,bennett,wink,grinning,t-shirt,#C62B3E,#E6CAAF
transparent,red mohawk,standard,no expression,basketball,#959A99,#F68A5C
vintage yellow,santa hat,closed,smoking,tattoos,#387DDC,#FAE74B
vintage yellow,red mohawk,dizzy,no expression,t-shirt,#FFFFFF,#EE2840
transparent,blue mohawk,closed,no expression,hoodie,#FFFFFF,#98CDCD
nerdy,sausage,closed,grinning,hawaiian1,#959A99,#98CDCD
standard,afro,standard,grinning,hoodie,#181B2B,#EE2840
vintage red,aviator,closed,standard,scarf,#181B2B,#98CDCD
plastic,blue mohawk,sparkling,yawn,collared,#959A99,#EE2840
plastic,bucket hat,dizzy,no expression,scarf,#FFFFFF,#FAE74B
shiny,bennett,wink,no expression,tattoos,#FFFFFF,#F68A5C
standard,afro,standard,no expression,basketball,#959A99,#B5B3DA
standard,bucket hat,sparkling,standard,hoodie,#959A99,#FAE74B
transparent,baseball,sparkling,standard,t-shirt,#F6C3DB,#F68A5C
nerdy,afro,wink,open,collared,#D9BD9E,#E6CAAF
cool pink,white mohawk,angry,open,basketball,#FFFFFF,#F68A5C
nerdy,snowhat,dizzy,yawn,t-shirt,#181B2B,#B5B3DA
transparent,white mohawk,dizzy,standard,basketball,#F6C3DB,#FD9DCB
standard,standard,wink,fish,hawaiian2,#387DDC,#E6CAAF
vintage red,blue mohawk,angry,no expression,scarf,#959A99,#E6CAAF
transparent,ribs,standard,no expression,basketball,#181B2B,#FD9DCB
transparent,poop,closed,no expression,t-shirt,#F6C3DB,#98CDCD
nerdy,bennett,standard,standard,hawaiian2,#D9BD9E,#FD9DCB
vintage yellow,aviator,closed,standard,tattoos,#F6C3DB,#E6CAAF
standard,afro,angry,standard,hoodie,#D9BD9E,#B5B3DA
cool gold,bennett,dizzy,yawn,t-shirt,#181B2B,#E6CAAF
standard,afro,angry,yawn,t-shirt,#181B2B,#FD9DCB
standard,afro,closed,standard,hoodie,#959A99,#E6CAAF
transparent,red mohawk,wink,grinning,overalls,#C62B3E,#B5B3DA
nerdy,bennett,wink,yawn,collared,#FFFFFF,#E6CAAF
cool gold,afro,wink,standard,hawaiian3,#959A99,#FAE74B
transparent,white mohawk,wink,smoking,collared,#FFFFFF,#F68A5C
transparent,blue mohawk,standard,yawn,hoodie,#FFFFFF,#FAE74B
cool pink,sausage,closed,standard,hawaiian1,#FFFFFF,#E6CAAF
standard,brain,angry,standard,hawaiian2,#181B2B,#B5B3DA
standard,snowhat,angry,smoking,collared,#181B2B,#F68A5C
standard,bucket hat,standard,standard,scarf,#D9BD9E,#FD9DCB
cool pink,santa hat,standard,no expression,collared,#F6C3DB,#98CDCD
transparent,afro,standard,standard,collared,#F6C3DB,#EE2840
cool pink,red mohawk,closed,no expression,hoodie,#387DDC,#FD9DCB
standard,bennett,wink,grinning,overalls,#181B2B,#E6CAAF
shiny,bucket hat,wink,standard,collared,#959A99,#E6CAAF
transparent,afro,wink,grinning,scarf,#F6C3DB,#F68A5C
cool pink,brain,dizzy,grinning,basketball,#FFFFFF,#E6CAAF
nerdy,white mohawk,wink,grinning,basketball,#FFFFFF,#EE2840
shiny,poop,standard,grinning,overalls,#FFFFFF,#B5B3DA
transparent,bucket hat,angry,yawn,overalls,#F6C3DB,#FD9DCB
standard,green mohawk,closed,no expression,basketball,#D9BD9E,#F68A5C
nerdy,santa hat,sparkling,smoking,inmate,#387DDC,#E6CAAF
transparent,baseball,dizzy,yawn,t-shirt,#F6C3DB,#B5B3DA
cool pink,fishing hat,sparkling,smoking,hawaiian2,#959A99,#EE2840
standard,afro,dizzy,grinning,hoodie,#181B2B,#F68A5C
transparent,poop,angry,grinning,scarf,#D9BD9E,#FAE74B
vintage red,bennett,wink,no expression,basketball,#D9BD9E,#FAE74B
standard,bennett,angry,standard,hoodie,#387DDC,#FAE74B
shiny,brain,wink,no expression,hawaiian2,#F6C3DB,#B5B3DA
standard,sausage,angry,fish,hawaiian3,#387DDC,#FD9DCB
transparent,green mohawk,sparkling,grinning,hawaiian2,#959A99,#EE2840
transparent,poop,wink,grinning,t-shirt,#FFFFFF,#98CDCD
shiny,blue mohawk,dizzy,no expression,hawaiian1,#C62B3E,#FD9DCB
transparent,ribs,closed,standard,hawaiian3,#FFFFFF,#98CDCD
cool gold,red mohawk,wink,fish,overalls,#D9BD9E,#FD9DCB
plastic,poop,sparkling,open,scarf,#181B2B,#FD9DCB
transparent,standard,sparkling,fish,scarf,#FFFFFF,#F68A5C
transparent,baseball,angry,grinning,collared,#181B2B,#98CDCD
shiny,santa hat,wink,open,basketball,#FFFFFF,#EE2840
shiny,blue mohawk,sparkling,open,hoodie,#D9BD9E,#FAE74B
standard,baseball,wink,no expression,collared,#181B2B,#E6CAAF
standard,snowhat,wink,open,scarf,#FFFFFF,#98CDCD
vintage yellow,red mohawk,dizzy,standard,punk,#F6C3DB,#F68A5C
standard,sausage,dizzy,standard,punk,#959A99,#E6CAAF
plastic,white mohawk,sparkling,standard,hawaiian2,#181B2B,#FAE74B
shiny,fishing hat,closed,no expression,scarf,#D9BD9E,#98CDCD
nerdy,afro,wink,open,scarf,#F6C3DB,#B5B3DA
shiny,afro,closed,fish,hawaiian2,#FFFFFF,#E6CAAF
cool pink,baseball,dizzy,no expression,collared,#F6C3DB,#E6CAAF
transparent,white mohawk,closed,grinning,hoodie,#181B2B,#98CDCD
plastic,bennett,sparkling,no expression,hoodie,#FFFFFF,#F68A5C
transparent,blue mohawk,sparkling,standard,standard,#FFFFFF,#F68A5C
cool pink,white mohawk,standard,yawn,hoodie,#181B2B,#E6CAAF
nerdy,afro,closed,yawn,hawaiian1,#FFFFFF,#EE2840
standard,bucket hat,dizzy,yawn,inmate,#F6C3DB,#EE2840
nerdy,sausage,dizzy,no expression,hawaiian3,#D9BD9E,#B5B3DA
standard,snowhat,angry,standard,hawaiian2,#FFFFFF,#E6CAAF
transparent,white mohawk,dizzy,yawn,hawaiian3,#FFFFFF,#98CDCD
vintage red,ribs,wink,grinning,hoodie,#D9BD9E,#E6CAAF
nerdy,snowhat,closed,fish,inmate,#959A99,#98CDCD
transparent,snowhat,standard,standard,hoodie,#FFFFFF,#B5B3DA
transparent,santa hat,wink,no expression,hawaiian2,#181B2B,#FD9DCB
standard,santa hat,dizzy,open,hoodie,#387DDC,#F68A5C
nerdy,aviator,wink,standard,t-shirt,#181B2B,#E6CAAF
cool gold,snowhat,angry,yawn,tattoos,#F6C3DB,#F68A5C
plastic,blue mohawk,closed,open,t-shirt,#F6C3DB,#98CDCD
transparent,blue mohawk,dizzy,yawn,scarf,#FFFFFF,#E6CAAF
transparent,fishing hat,standard,standard,hawaiian2,#C62B3E,#FD9DCB
transparent,bucket hat,angry,standard,overalls,#FFFFFF,#98CDCD
cool pink,snowhat,closed,standard,t-shirt,#D9BD9E,#FD9DCB
shiny,bucket hat,dizzy,open,scarf,#D9BD9E,#98CDCD
nerdy,white mohawk,angry,yawn,overalls,#959A99,#FD9DCB
plastic,afro,wink,grinning,hawaiian3,#181B2B,#FD9DCB
transparent,green mohawk,wink,grinning,t-shirt,#959A99,#F68A5C
plastic,ribs,closed,no expression,standard,#F6C3DB,#F68A5C
plastic,white mohawk,standard,standard,hawaiian1,#181B2B,#F68A5C
shiny,santa hat,standard,no expression,punk,#C62B3E,#E6CAAF
transparent,red mohawk,angry,smoking,hawaiian2,#D9BD9E,#EE2840
nerdy,santa hat,standard,standard,t-shirt,#FFFFFF,#98CDCD
shiny,poop,sparkling,standard,hawaiian2,#FFFFFF,#FAE74B
plastic,santa hat,standard,open,overalls,#F6C3DB,#B5B3DA
standard,sausage,closed,no expression,hawaiian2,#387DDC,#E6CAAF
transparent,fishing hat,dizzy,standard,t-shirt,#959A99,#E6CAAF
shiny,baseball,wink,standard,scarf,#181B2B,#98CDCD
transparent,bennett,wink,grinning,scarf,#387DDC,#FAE74B
shiny,afro,closed,standard,collared,#181B2B,#FD9DCB
standard,afro,sparkling,standard,punk,#181B2B,#98CDCD
vintage red,afro,closed,smoking,t-shirt,#D9BD9E,#E6CAAF
shiny,fishing hat,closed,standard,collared,#D9BD9E,#F68A5C
transparent,white mohawk,sparkling,standard,hawaiian3,#FFFFFF,#B5B3DA
plastic,standard,standard,standard,hawaiian3,#C62B3E,#F68A5C
transparent,sausage,standard,open,t-shirt,#FFFFFF,#F68A5C
standard,fishing hat,wink,fish,hawaiian3,#D9BD9E,#FAE74B
transparent,santa hat,standard,fish,scarf,#FFFFFF,#E6CAAF
transparent,afro,closed,no expression,overalls,#959A99,#FD9DCB
nerdy,bucket hat,wink,grinning,hawaiian2,#F6C3DB,#EE2840
transparent,bucket hat,dizzy,standard,hoodie,#F6C3DB,#FD9DCB
cool gold,bucket hat,standard,yawn,overalls,#959A99,#E6CAAF
cool gold,green mohawk,dizzy,standard,basketball,#959A99,#B5B3DA
plastic,afro,standard,standard,hawaiian3,#F6C3DB,#E6CAAF
transparent,poop,standard,yawn,hawaiian3,#387DDC,#B5B3DA
plastic,bennett,standard,grinning,hawaiian3,#D9BD9E,#FAE74B
vintage red,santa hat,wink,open,basketball,#C62B3E,#E6CAAF
vintage yellow,baseball,sparkling,fish,scarf,#181B2B,#E6CAAF
shiny,snowhat,standard,smoking,hawaiian3,#181B2B,#F68A5C
nerdy,green mohawk,standard,standard,t-shirt,#181B2B,#E6CAAF
transparent,fishing hat,wink,open,overalls,#F6C3DB,#B5B3DA
standard,snowhat,closed,standard,hawaiian1,#959A99,#B5B3DA
standard,fishing hat,angry,yawn,tattoos,#181B2B,#E6CAAF
standard,fishing hat,dizzy,standard,collared,#F6C3DB,#B5B3DA
transparent,sausage,standard,standard,scarf,#FFFFFF,#B5B3DA
transparent,bucket hat,sparkling,open,scarf,#181B2B,#B5B3DA
